Emotion,Word,Num
good,希望,1
good,用心,1
good,喜欢,3
happy,随意,1
good,不错,1
good,人物,1
good,有趣,1
happy,满足,1
happy,娱乐,1
happy,享受,1
good,节奏,1
sad,回忆,1
disgust,不了,1
good,主角,3
good,不可,1
sad,不行,1
good,最好,1
disgust,歪曲,1
happy,乐天,1
disgust,公然,1
good,偶像,1
disgust,疯狂,1
good,值得,1
good,支持,2
good,人品,1
disgust,一文不值,1
good,独步天下,1
disgust,浮夸,1
good,友好,1
good,义务,1
good,国事,1
good,顾全大局,1
good,情谊,1
good,呼风唤雨,1
good,少爷,1
good,理解,1
anger,报仇,3
sad,悲剧,1
good,凛然,1
good,牺牲,1
good,忍让,1
disgust,无视,1
good,君子,1
good,小生,1
good,气质,1
good,风度,1
good,一定,1
good,契合,1
disgust,偏偏,1
disgust,手段,1
good,功成名就,1
good,真正,1
disgust,作弊,1
good,不露声色,1
good,主角,2
sad,不行,1
disgust,漏洞,1
disgust,不好,1
good,爱情,1
disgust,尴尬,2
disgust,毛病,1
disgust,猫腻,1
good,主角,1
disgust,荒唐,1
disgust,虚构,1
sad,无语,1
disgust,惆怅,1
good,不可多得,1
good,不错,1
good,幽默,1
good,肯定,1
good,独特,1
disgust,刺激,1
good,紧凑,1
sad,失望,1
sad,江河日下,1
good,可见一斑,1
disgust,卖弄,1
disgust,自恋,4
disgust,自作聪明,1
good,人物,1
disgust,胡乱,1
disgust,尴尬,1
disgust,霸气,1
disgust,散乱,1
good,无比,1
disgust,故弄玄虚,1
disgust,缓慢,1
disgust,不知所云,1
happy,进展,1
good,才子,1
good,权谋,2
disgust,文抄公,1
disgust,霸道,1
disgust,尴尬,1
good,喜欢,1
disgust,自恋,1
disgust,过时,1
surprise,奇怪,1
disgust,丢人现眼,1
good,佳作,1
disgust,大张旗鼓,1
good,优秀,1
good,必须,1
good,本色,1
disgust,担心,1
good,实在,1
disgust,自以为是,2
good,仔细,1
good,喜欢,2
good,雪亮,1
good,人物,1
happy,起来,1
disgust,随便,1
good,实在,1
surprise,原来,1
surprise,好奇,1
good,爱情,1
good,妙不可言,1
disgust,难受,1
sad,难受,1
disgust,难受,1
disgust,别扭,1
good,权谋,2
happy,喜剧,2
good,主角,1
good,气质,1
disgust,尴尬,1
sad,失望,1
disgust,胡说八道,1
disgust,一本正经,1
disgust,扯淡,1
good,理解,1
disgust,无聊,1
good,真心,2
disgust,装腔作势,1
disgust,浪费,1
disgust,无聊,1
disgust,陪衬,1
disgust,傻子,1
good,正经,1
good,铺垫,1
sad,战乱,2
good,有趣,1
good,朋友,1
disgust,出格,1
good,其实,1
disgust,刺杀,1
happy,享受,1
good,牺牲,1
